t_hours,G_RK45,G_PINN,G_error,I_RK45,I_PINN,I_error,region
12.000000,,79.786110,,,5.621819,,extrapolation
12.060302,,79.739754,,,5.615695,,extrapolation
12.120603,,79.693733,,,5.609498,,extrapolation
12.180905,,79.648018,,,5.603233,,extrapolation
12.241206,,79.602654,,,5.596901,,extrapolation
12.301508,,79.557602,,,5.590506,,extrapolation
12.361809,,79.512955,,,5.584050,,extrapolation
12.422111,,79.468552,,,5.577536,,extrapolation
12.482412,,79.424576,,,5.570963,,extrapolation
12.542714,,79.380844,,,5.564338,,extrapolation
12.603015,,79.337532,,,5.557662,,extrapolation
12.663317,,79.294502,,,5.550938,,extrapolation
12.723618,,79.251839,,,5.544167,,extrapolation
12.783920,,79.209488,,,5.537351,,extrapolation
12.844221,,79.167473,,,5.530495,,extrapolation
12.904523,,79.125839,,,5.523596,,extrapolation
12.964824,,79.084480,,,5.516660,,extrapolation
13.025126,,79.043442,,,5.509688,,extrapolation
13.085427,,79.002724,,,5.502682,,extrapolation
13.145729,,78.962479,,,5.495641,,extrapolation
13.206030,,78.922462,,,5.488571,,extrapolation
13.266332,,78.882759,,,5.481475,,extrapolation
13.326633,,78.843422,,,5.474349,,extrapolation
13.386935,,78.804382,,,5.467198,,extrapolation
13.447236,,78.765701,,,5.460024,,extrapolation
13.507538,,78.727272,,,5.452826,,extrapolation
13.567839,,78.689255,,,5.445612,,extrapolation
13.628141,,78.651466,,,5.438376,,extrapolation
13.688442,,78.614075,,,5.431123,,extrapolation
13.748744,,78.577003,,,5.423852,,extrapolation
13.809045,,78.540207,,,5.416571,,extrapolation
13.869347,,78.503708,,,5.409273,,extrapolation
13.929648,,78.467583,,,5.401963,,extrapolation
13.989950,,78.431709,,,5.394645,,extrapolation
14.050251,,78.396164,,,5.387316,,extrapolation
14.110553,,78.360931,,,5.379980,,extrapolation
14.170854,,78.325974,,,5.372635,,extrapolation
14.231156,,78.291344,,,5.365286,,extrapolation
14.291457,,78.256996,,,5.357931,,extrapolation
14.351759,,78.222992,,,5.350573,,extrapolation
14.412060,,78.189278,,,5.343214,,extrapolation
14.472362,,78.155731,,,5.335851,,extrapolation
14.532663,,78.122627,,,5.328488,,extrapolation
14.592965,,78.089714,,,5.321128,,extrapolation
14.653266,,78.057190,,,5.313767,,extrapolation
14.713568,,78.024849,,,5.306411,,extrapolation
14.773869,,77.992828,,,5.299057,,extrapolation
14.834171,,77.961075,,,5.291707,,extrapolation
14.894472,,77.929588,,,5.284361,,extrapolation
14.954774,,77.898430,,,5.277021,,extrapolation
15.015075,,77.867500,,,5.269687,,extrapolation
15.075377,,77.836884,,,5.262363,,extrapolation
15.135678,,77.806519,,,5.255046,,extrapolation
15.195980,,77.776421,,,5.247736,,extrapolation
15.256281,,77.746559,,,5.240438,,extrapolation
15.316583,,77.717010,,,5.233148,,extrapolation
15.376884,,77.687653,,,5.225871,,extrapolation
15.437186,,77.658607,,,5.218604,,extrapolation
15.497487,,77.629822,,,5.211349,,extrapolation
15.557789,,77.601257,,,5.204108,,extrapolation
15.618090,,77.572960,,,5.196879,,extrapolation
15.678392,,77.544952,,,5.189664,,extrapolation
15.738693,,77.517097,,,5.182463,,extrapolation
15.798995,,77.489540,,,5.175277,,extrapolation
15.859296,,77.462219,,,5.168108,,extrapolation
15.919598,,77.435181,,,5.160952,,extrapolation
15.979899,,77.408302,,,5.153814,,extrapolation
16.040201,,77.381721,,,5.146694,,extrapolation
16.100503,,77.355370,,,5.139587,,extrapolation
16.160804,,77.329201,,,5.132501,,extrapolation
16.221106,,77.303299,,,5.125432,,extrapolation
16.281407,,77.277603,,,5.118382,,extrapolation
16.341709,,77.252197,,,5.111351,,extrapolation
16.402010,,77.226967,,,5.104337,,extrapolation
16.462312,,77.201958,,,5.097345,,extrapolation
16.522613,,77.177162,,,5.090373,,extrapolation
16.582915,,77.152550,,,5.083421,,extrapolation
16.643216,,77.128235,,,5.076485,,extrapolation
16.703518,,77.104095,,,5.069573,,extrapolation
16.763819,,77.080139,,,5.062684,,extrapolation
16.824121,,77.056450,,,5.055812,,extrapolation
16.884422,,77.032974,,,5.048966,,extrapolation
16.944724,,77.009636,,,5.042140,,extrapolation
17.005025,,76.986526,,,5.035335,,extrapolation
17.065327,,76.963631,,,5.028553,,extrapolation
17.125628,,76.940926,,,5.021793,,extrapolation
17.185930,,76.918404,,,5.015057,,extrapolation
17.246231,,76.896088,,,5.008345,,extrapolation
17.306533,,76.873978,,,5.001653,,extrapolation
17.366834,,76.852089,,,4.994984,,extrapolation
17.427136,,76.830391,,,4.988344,,extrapolation
17.487437,,76.808838,,,4.981722,,extrapolation
17.547739,,76.787445,,,4.975125,,extrapolation
17.608040,,76.766312,,,4.968551,,extrapolation
17.668342,,76.745300,,,4.962003,,extrapolation
17.728643,,76.724510,,,4.955480,,extrapolation
17.788945,,76.703888,,,4.948979,,extrapolation
17.849246,,76.683464,,,4.942502,,extrapolation
17.909548,,76.663155,,,4.936053,,extrapolation
17.969849,,76.643066,,,4.929626,,extrapolation
18.030151,,76.623169,,,4.923222,,extrapolation
18.090452,,76.603378,,,4.916847,,extrapolation
18.150754,,76.583794,,,4.910496,,extrapolation
18.211055,,76.564362,,,4.904169,,extrapolation
18.271357,,76.545158,,,4.897868,,extrapolation
18.331658,,76.526093,,,4.891592,,extrapolation
18.391960,,76.507149,,,4.885340,,extrapolation
18.452261,,76.488373,,,4.879114,,extrapolation
18.512563,,76.469765,,,4.872913,,extrapolation
18.572864,,76.451324,,,4.866739,,extrapolation
18.633166,,76.433052,,,4.860588,,extrapolation
18.693467,,76.414932,,,4.854465,,extrapolation
18.753769,,76.396957,,,4.848366,,extrapolation
18.814070,,76.379150,,,4.842290,,extrapolation
18.874372,,76.361435,,,4.836242,,extrapolation
18.934673,,76.343941,,,4.830219,,extrapolation
18.994975,,76.326530,,,4.824222,,extrapolation
19.055276,,76.309349,,,4.818252,,extrapolation
19.115578,,76.292274,,,4.812306,,extrapolation
19.175879,,76.275345,,,4.806384,,extrapolation
19.236181,,76.258545,,,4.800490,,extrapolation
19.296482,,76.241867,,,4.794620,,extrapolation
19.356784,,76.225365,,,4.788774,,extrapolation
19.417085,,76.208992,,,4.782957,,extrapolation
19.477387,,76.192696,,,4.777165,,extrapolation
19.537688,,76.176590,,,4.771397,,extrapolation
19.597990,,76.160622,,,4.765654,,extrapolation
19.658291,,76.144806,,,4.759937,,extrapolation
19.718593,,76.129097,,,4.754246,,extrapolation
19.778894,,76.113518,,,4.748582,,extrapolation
19.839196,,76.098083,,,4.742941,,extrapolation
19.899497,,76.082771,,,4.737324,,extrapolation
19.959799,,76.067566,,,4.731736,,extrapolation
20.020101,,76.052513,,,4.726171,,extrapolation
20.080402,,76.037537,,,4.720632,,extrapolation
20.140704,,76.022758,,,4.715117,,extrapolation
20.201005,,76.008026,,,4.709629,,extrapolation
20.261307,,75.993439,,,4.704162,,extrapolation
20.321608,,75.978996,,,4.698723,,extrapolation
20.381910,,75.964630,,,4.693310,,extrapolation
20.442211,,75.950378,,,4.687920,,extrapolation
20.502513,,75.936325,,,4.682554,,extrapolation
20.562814,,75.922302,,,4.677215,,extrapolation
20.623116,,75.908424,,,4.671899,,extrapolation
20.683417,,75.894646,,,4.666607,,extrapolation
20.743719,,75.880981,,,4.661339,,extrapolation
20.804020,,75.867439,,,4.656098,,extrapolation
20.864322,,75.854027,,,4.650882,,extrapolation
20.924623,,75.840683,,,4.645686,,extrapolation
20.984925,,75.827431,,,4.640516,,extrapolation
21.045226,,75.814369,,,4.635373,,extrapolation
21.105528,,75.801338,,,4.630251,,extrapolation
21.165829,,75.788399,,,4.625153,,extrapolation
21.226131,,75.775650,,,4.620080,,extrapolation
21.286432,,75.762909,,,4.615033,,extrapolation
21.346734,,75.750320,,,4.610006,,extrapolation
21.407035,,75.737801,,,4.605004,,extrapolation
21.467337,,75.725395,,,4.600028,,extrapolation
21.527638,,75.713104,,,4.595071,,extrapolation
21.587940,,75.700897,,,4.590140,,extrapolation
21.648241,,75.688812,,,4.585232,,extrapolation
21.708543,,75.676781,,,4.580349,,extrapolation
21.768844,,75.664864,,,4.575487,,extrapolation
21.829146,,75.653015,,,4.570648,,extrapolation
21.889447,,75.641296,,,4.565835,,extrapolation
21.949749,,75.629608,,,4.561043,,extrapolation
22.010050,,75.618095,,,4.556272,,extrapolation
22.070352,,75.606651,,,4.551525,,extrapolation
22.130653,,75.595306,,,4.546799,,extrapolation
22.190955,,75.584007,,,4.542099,,extrapolation
22.251256,,75.572800,,,4.537422,,extrapolation
22.311558,,75.561714,,,4.532762,,extrapolation
22.371859,,75.550659,,,4.528129,,extrapolation
22.432161,,75.539703,,,4.523517,,extrapolation
22.492462,,75.528885,,,4.518927,,extrapolation
22.552764,,75.518150,,,4.514359,,extrapolation
22.613065,,75.507431,,,4.509815,,extrapolation
22.673367,,75.496841,,,4.505289,,extrapolation
22.733668,,75.486313,,,4.500786,,extrapolation
22.793970,,75.475876,,,4.496304,,extrapolation
22.854271,,75.465454,,,4.491844,,extrapolation
22.914573,,75.455215,,,4.487406,,extrapolation
22.974874,,75.445038,,,4.482991,,extrapolation
23.035176,,75.434860,,,4.478594,,extrapolation
23.095477,,75.424805,,,4.474220,,extrapolation
23.155779,,75.414848,,,4.469868,,extrapolation
23.216080,,75.404930,,,4.465535,,extrapolation
23.276382,,75.395103,,,4.461222,,extrapolation
23.336683,,75.385368,,,4.456930,,extrapolation
23.396985,,75.375671,,,4.452660,,extrapolation
23.457286,,75.366096,,,4.448412,,extrapolation
23.517588,,75.356560,,,4.444183,,extrapolation
23.577889,,75.347076,,,4.439974,,extrapolation
23.638191,,75.337723,,,4.435786,,extrapolation
23.698492,,75.328392,,,4.431620,,extrapolation
23.758794,,75.319115,,,4.427470,,extrapolation
23.819095,,75.309952,,,4.423342,,extrapolation
23.879397,,75.300835,,,4.419233,,extrapolation
23.939698,,75.291771,,,4.415144,,extrapolation
24.000000,,75.282791,,,4.411078,,extrapolation
